id;map;mode;playlist;interaction;rank;outcome;kills;deaths;assists;betrayals;suicides;spawns;max_killing_spree;vehicles_destroyed;vehicles_hijacked;total_medals;unique_medals;objectives_completed;damage_taken;damage_dealt;shots_fired;shots_hit;shots_missed;shots_accuracy;round_won;round_lost;round_tied;kills_melee;kills_grenades;kills_headshots;kills_power_weapons;kills_sticks;kills_assassinations;kills_splatters;kills_repulsor;kills_fusion_coils;kdr;kda;avg_life_duration;score;points;joined_in_progress;joined_at;left_at;present_at_beginning;game_completed;kills_expected;kills_expected_sd;deaths_expected;deaths_expected_sd;season;duration;started_at;ended_at
93210443-e18c-4f0c-872a-be861aa54bdb;Aquarius;Ranked:CTF 5 Captures;Ranked Arena;pvp;7;dnf;10;18;8;0;0;19;2;0;0;2;2;0;6158;3941;187;102;85;54.54545454545454;0;0;0;1;0;8;0;0;0;0;0;0;0.5555555555555556;-5.33;26;1500;0;False;2023-11-19T21:41:19.511Z;2023-11-19T21:53:26.692Z;True;False;17.171736376923697;5.2055074116813955;18.180541638983826;5.2055074116813955;Season5-Op1;763;2023-11-19T21:41:19.502Z;2023-11-19T21:54:03.282Z
22e57097-380f-4588-a740-bebe6b8050b5;Solitude;Ranked:King of the Hill;Ranked Arena;pvp;5;loss;18;16;5;0;0;17;5;0;0;5;5;0;5254;4785;209;106;103;50.717703349282296;0;1;0;1;1;12;1;0;0;0;0;0;1.125;3.66;24;2250;1;False;2023-11-19T21:30:10.948Z;;True;True;15.830881413970156;4.7991737745602565;16.209869136858313;4.7991737745602565;Season5-Op1;613;2023-11-19T21:30:10.939Z;2023-11-19T21:40:24.693Z
9ee22a4f-c64a-46d6-add5-566bee112796;Forbidden;Ranked:CTF 3 Captures;Ranked Arena;pvp;3;win;7;12;3;0;0;12;3;0;0;5;5;0;3583;2582;124;60;64;48.38709677419355;1;0;0;2;0;4;0;0;0;0;0;0;0.5833333333333334;-4;29;1025;0;False;2023-11-19T21:19:52.460Z;;True;True;12.790640013323559;4.2564161948239;11.14803354268827;4.2564161948239;Season5-Op1;507;2023-11-19T21:19:21.028Z;2023-11-19T21:28:20.243Z
ccaafe46-8810-4240-9d38-e4c2746707fe;Empyrean;Ranked:CTF 3 Captures;Ranked Arena;pvp;3;win;21;21;5;0;0;23;4;0;0;6;4;0;6741;6557;391;196;195;50.127877237851656;1;0;1;1;0;15;4;0;0;0;0;0;1;1.66;27;2550;0;False;2023-11-19T21:02:44.543Z;;True;True;21.3404399807178;5.769675145255539;20.2407196565122;5.769675145255539;Season5-Op1;890;2023-11-19T21:02:44.535Z;2023-11-19T21:17:42.420Z
c4432230-b109-40a4-ad9f-665ed75e60c9;Streets;Ranked:Extraction;Ranked Arena;pvp;1;win;11;11;5;0;0;11;4;0;0;3;3;0;3837;4080;177;102;75;57.6271186440678;1;0;0;3;0;7;0;0;0;0;0;0;1;1.66;34;2210;0;False;2023-11-19T20:52:46.953Z;;True;True;14.379324757975635;4.314044881167967;11.732423708367701;4.314044881167967;Season5-Op1;509;2023-11-19T20:52:13.578Z;2023-11-19T21:01:16.366Z
e77e2ca1-3210-484c-9404-004aeac9bb03;Prism;Arena:Slayer;Team Slayer;pvp;5;loss;12;10;3;0;0;10;4;0;0;7;5;0;2815;3992;318;155;163;48.742138364779876;0;1;0;0;0;6;0;0;0;0;0;0;1.2;3;28;1350;12;True;2023-11-19T20:43:29.861Z;;False;True;15.903666923029588;3.7278010876377015;6.026268870405503;3.7278010876377015;Season5-Op1;558;2023-11-19T20:40:31.752Z;2023-11-19T20:49:50.682Z
dcb6fced-6506-44ec-8f48-4a6a454e2f42;Detachment;Arena:Slayer BR;Team Slayer;pvp;6;loss;11;14;7;0;0;14;5;0;0;4;4;0;4554;4351;436;192;244;44.03669724770643;0;1;0;1;1;8;1;0;0;0;0;0;0.7857142857142857;-0.66;33;1450;11;False;2023-11-19T20:24:01.977Z;;True;True;16.782732689505554;4.820484195223598;11.97907375514318;4.820484195223598;Season5-Op1;615;2023-11-19T20:24:01.976Z;2023-11-19T20:34:17.519Z
05a7989a-859c-413a-8ab1-de53a44f9e96;Aquarius;Ranked:Slayer;Ranked Arena;pvp;2;win;13;11;5;0;0;12;5;0;0;3;3;0;4191;4305;237;117;120;49.36708860759494;1;0;0;2;1;6;0;0;0;0;0;0;1.1818181818181819;3.66;32;1550;13;False;2023-11-19T00:30:22.495Z;;True;True;13.149986458314215;4.276605986703357;11.493263187838576;4.276605986703357;Season5-Op1;500;2023-11-19T00:30:22.486Z;2023-11-19T00:38:42.558Z
85e3a699-e9eb-4dfc-8d8c-f6a9ecc5f0f0;Recharge;Ranked:Extraction;Ranked Arena;pvp;5;loss;9;10;2;0;0;10;2;0;0;6;5;0;2819;2804;141;72;69;51.06382978723404;0;1;0;0;0;5;0;0;1;0;0;0;0.9;-0.33;24;1200;0;False;2023-11-19T00:23:13.747Z;;True;True;9.71024078530403;3.5890762003998757;8.75605248277602;3.5890762003998757;Season5-Op1;363;2023-11-19T00:22:57.574Z;2023-11-19T00:29:16.907Z
fe947d0e-055c-4e28-be22-f573f7e6281e;Recharge;Ranked:King of the Hill;Ranked Arena;pvp;8;loss;17;22;9;0;0;23;3;0;0;5;5;0;6744;5066;290;128;162;44.13793103448276;0;1;0;2;1;9;0;1;0;0;0;0;0.7727272727272727;-2;24;2175;2;False;2023-11-19T00:06:43.376Z;;True;True;21.527373266391187;5.564990356852035;20.88145570989962;5.564990356852035;Season5-Op1;802;2023-11-19T00:06:43.375Z;2023-11-19T00:20:06.352Z
396cb461-e145-4913-85ab-ddb1e7da9777;Recharge;Ranked:Strongholds;Ranked Arena;pvp;5;loss;9;18;8;0;0;18;3;0;0;6;5;0;5612;4379;212;100;112;47.16981132075472;0;1;0;1;0;5;0;2;0;0;0;0;0.5;-6.33;28;1575;0;False;2023-11-18T23:53:51.983Z;;True;True;18.16400846755318;5.16973897835188;17.60352666846739;5.16973897835188;Season5-Op1;712;2023-11-18T23:53:51.977Z;2023-11-19T00:05:44.227Z
e8ec2374-92db-464a-b7bc-d478900721fd;Live Fire;Ranked:Slayer;Ranked Arena;pvp;2;win;13;9;6;0;0;10;5;0;0;6;5;0;4417;4627;207;112;95;54.106280193236714;1;0;0;1;0;9;0;0;1;0;0;0;1.4444444444444444;6;40;1600;13;False;2023-11-18T23:43:44.254Z;;True;True;13.124499304369225;4.296656563358212;11.675220419541091;4.296656563358212;Season5-Op1;504;2023-11-18T23:43:24.683Z;2023-11-18T23:52:08.651Z
0acb1c46-ae77-4332-b995-f723e7ebf332;Recharge;Ranked:Oddball;Ranked Arena;pvp;4;win;21;25;10;0;0;26;5;0;0;8;7;0;8174;7195;305;168;137;55.08196721311476;2;0;0;2;2;14;0;0;0;0;0;0;0.84;-0.66;27;2720;18;False;2023-11-18T23:17:39.205Z;;True;True;26.84596431430779;6.1283880241084;24.53279028154423;6.1283880241084;Season5-Op1;990;2023-11-18T23:17:39.197Z;2023-11-18T23:34:17.315Z
7e8af77c-b459-45e4-9356-32daeaecb259;Recharge;Ranked:Extraction;Ranked Arena;pvp;1;win;25;21;9;0;0;21;4;0;0;26;16;0;6286;6773;267;154;113;57.67790262172284;1;0;0;4;1;13;0;1;2;0;0;0;1.1904761904761905;7;24;3850;0;False;2023-11-18T22:57:50.547Z;;True;True;20.917032668400555;5.289798419234703;17.077052368848026;5.289798419234703;Season5-Op1;741;2023-11-18T22:57:35.181Z;2023-11-18T23:10:12.255Z
cf53b3d0-0ba1-4154-97ab-010e43548e7f;Empyrean;Ranked:CTF 3 Captures;Ranked Arena;pvp;1;win;1;0;1;0;0;1;1;0;0;1;1;0;105;372;5;2;3;40;1;0;0;0;0;1;1;0;0;0;0;0;1;1.33;122;460;1;False;2023-11-18T22:49:31.012Z;;True;True;4.182418910044707;2.3820963119697938;0;0;Season5-Op1;183;2023-11-18T22:49:31.005Z;2023-11-18T22:52:34.715Z
d9811440-379f-41c4-9ec3-209b128dc9bc;Live Fire;Ranked:Slayer;Ranked Arena;pvp;6;loss;8;14;5;0;0;14;2;0;0;6;4;0;3914;3092;150;68;82;45.33333333333333;0;1;0;2;1;3;0;0;1;0;0;0;0.5714285714285714;-4.33;20;1050;8;False;2023-11-18T22:40:45.443Z;;True;True;10.50771567827356;3.8974635264747546;10.05752470635131;3.8974635264747546;Season5-Op1;422;2023-11-18T22:40:23.309Z;2023-11-18T22:47:47.658Z
3d792ef3-8316-4630-85d6-77c75dc5e169;Aquarius;Ranked:Slayer;Ranked Arena;pvp;8;loss;7;13;7;0;0;13;2;0;0;2;2;0;3658;3366;198;89;109;44.94949494949495;0;1;0;0;0;6;0;0;0;0;0;0;0.5384615384615384;-3.66;22;1050;7;False;2023-11-18T22:30:57.053Z;;True;True;10.408010025193024;3.8787695095903745;9.98462086838872;3.8787695095903745;Season5-Op1;418;2023-11-18T22:30:41.104Z;2023-11-18T22:37:55.357Z
a3238260-bd9d-447b-b479-d356218371e8;Streets;Arena:Team Slayer;Team Slayer;pvp;1;win;16;9;12;0;0;10;4;0;0;6;4;0;3473;4773;357;183;174;51.26050420168067;1;0;0;0;1;8;4;0;0;0;0;0;1.7777777777777777;11;36;2200;16;False;2023-11-18T22:15:53.486Z;;True;True;17.390581131548146;4.146880164342689;7.7874430043338405;4.146880164342689;Season5-Op1;468;2023-11-18T22:15:53.480Z;2023-11-18T22:23:41.716Z
31bba8b8-18fa-43d8-8bc4-da09d359bf29;Ronin;Husky Raid:CTF;Husky Raid;pvp;5;loss;23;14;10;0;0;15;4;0;0;15;9;0;4834;6942;411;201;210;48.9051094890511;0;1;0;0;1;12;8;0;0;0;0;0;1.6428571428571428;12.33;28;2835;0;False;2023-11-18T17:45:49.417Z;;True;True;25.98890911976536;5.344547029211786;16.927972063188697;5.344547029211786;Season5-Op1;584;2023-11-18T17:45:49.410Z;2023-11-18T17:55:34.067Z
bf8dcebf-21cd-4439-9dee-a73b446311ab;Smallhalla;Husky Raid:CTF;Husky Raid;pvp;7;loss;28;19;6;0;0;19;3;0;0;14;11;0;5309;6564;1110;489;621;44.054054054054056;0;1;0;0;1;10;5;0;1;0;0;0;1.4736842105263157;11;16;3150;0;False;2023-11-18T17:36:03.205Z;;True;True;23.952048611206422;4.908077780637778;12.124777873780747;4.908077780637778;Season5-Op1;511;2023-11-18T17:36:03.190Z;2023-11-18T17:44:34.354Z
